Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@habibh,Habib Haddad,"Entrepreneur. Investor. Community builder. co-founder & CEO @WamdaME. @Yamli, @YallaStartup and more. Research affiliate @MediaLab. Fellow @Fletcherschool. YGL",https://t.co/Wb4TVpXEB2,on the move,Cairo,11953,103962,1349,863
@ChrisHulls,Chris Hulls,"CEO at @Life360,the largest family network on the market with over 25 million families.  Also the first venture-backed app ever to launch on Android.",http://t.co/0ppwCgJyYF,"San Francisco, CA",Pacific Time (US & Canada),632,27956,4460,279
@esbaker,Ed Baker,,,,Pacific Time (US & Canada),59,1003,53,114
@Zappos_Fred,Zappos_Fred,,,,Pacific Time (US & Canada),152,2950,2579,84
@jeberlin,Jim Eberlin,"Founder/CEO TopOPPS, a sales forecasting and pipeline predictive analytics solution, previously founder/ CEO of SaaS market leaders Gainsight and Host Analytics",http://t.co/jsdwjUReWs,"St. Louis, MO",Central Time (US & Canada),1189,11068,10226,245
@pointsnfigures,Jeffrey Carter,"Former trader, angel investor Co-Founded http://t.co/EeSh4xztYF http://t.co/T45kRkCCAI (@westloopv) Trustee @wwiimuseum http://t.co/Cf7l4ap0Q5",http://t.co/JB6PwGWQCm,Chicago,Central Time (US & Canada),70030,8364,2090,579
@benyu_sierra,Ben Yu,"Technologist and venture investor, always enjoy meeting good entrepreneurs!",,San Francisco,Pacific Time (US & Canada),2,315,929,5
@HenryLMcNamara,Henry McNamara,"early stage VC @ Great Oaks | Bowdoin Polar Bear | Golf, Ski, Travel, Patriots",https://t.co/rK5pOAMzcy,"New York, NY",,2959,861,359,48
@jhitchco,Jeremy Hitchcock,"Co-founder & CEO @Dyn, land and sea pilot exploring startups, internet technology, building a company, STEM, and parenting with @lizesc. #livefreeordie",http://t.co/hGhkgnYrc0,"Manchester, New Hampshire, USA",Eastern Time (US & Canada),7764,5537,299,204
@jfleeg,Helen Mann,"Believer, Dreamer, Electro Producer, Perpetual Escapist, Wet blanket. Thank you hand sanitizer for letting me know that I have a cut in my hand.",,San Marino,,5,45,8,0
@ValleyGirlShow,Valley Girl Show,"The Valley Girl Show is a talk show created and hosted by Jesse Draper which features some of the biggest names in Business, Technology and the world!",http://t.co/WBoNyEvRem,The Internet,Pacific Time (US & Canada),12114,8608,7246,343
@smarcus,Stephen Marcus,"Experienced founder of seven companies, angel investor and venture capitalist.",http://t.co/Ae43JFT5I8,"Boston, MA",Eastern Time (US & Canada),665,1598,434,172
@Hussamkhoury,Sam Khoury,#Digital | #Marketing | #Startups | #Advisor | #Tech | #California | Coffee is this mans best friend. ☕️,,"Orange County, CA",Pacific Time (US & Canada),28334,2411,1356,717
@robinchan,Robin Chan,"Founder/CEO: Operator | Investor: Twitter, Square, Foursquare, Hyperloop, and Xiaomi | Advisor: Flipboard",https://t.co/svVjo1LF96,"NY，SF,  北京",Atlantic Time (Canada),1286,5378,841,221
@marksbirch,Mark Birch,"NYC sales pro, investor & entrepreneur; founder of the @Enterprise_Sale meetup; author Strong Opinions blog; heavy metal acoustic guitarist; dumpling aficionado",http://t.co/lY8A4w2ojt,"ÜT: 40.829521,-73.854346",Eastern Time (US & Canada),24917,5559,1437,588
@calsimmons,Cal Simmons,"Early Stage Investor with focus on travel industry/marketing. Founder, Five Star Alliance. @TravelRedBook. Tiger21 DC Chair. http://t.co/GZrUI3jV27",http://t.co/slrBBgsjPP,"Alexandria, VA",Eastern Time (US & Canada),350,750,833,35
@StevoLoughlin,Steve Loughlin,"Entrepreneur, Co-Founder and CEO of RelateIQ, Current CEO of SalesforceIQ",http://t.co/i1gNJOZGee,,Pacific Time (US & Canada),1496,1923,523,66
@petegrillo,petegrillo,"ceo, http://t.co/iJrUsrPzUe",http://t.co/Snl4CtCvIL,"Portland, OR",Pacific Time (US & Canada),6688,1039,816,93
@PhilNoLimits,Phil Gordon,"President, founder of https://t.co/fxkzpRP9iS. Former poker player and host Bravo's Celebrity Poker Showdown. Text poker questions any time to me @ 206-539-0379",http://t.co/VYfpUX66EV,"Seattle, WA",Pacific Time (US & Canada),2927,14460,925,775
@mckoss,Mike Koss,Google Software Engineer (Firebase),http://t.co/P0yJTb1Z2T,Seattle,Pacific Time (US & Canada),4724,1185,528,95
@cforman,Craig Forman,"Media, Telecom, Internet guy. BoardDirector: @McClatchyCo ($MNI), @YellowPages_ca ($Y.TO), @DigitalTurbine ($APPS), @YuMeVideo ($YUME) Prior: @WSJ, @CNN, @Yahoo",http://t.co/HHwtpxpWcU,SF,Eastern Time (US & Canada),581,574,627,20
@papadimitriou,Paul Papadimitriou,"The innovation traveler — keynote speaker — I fly globally to witness what emerging technologies actually mean for the youth, business, culture & …air travel.",https://t.co/kg4uUEnDwd,London,London,34638,7905,727,631
@vkeenan,Vernon Keenan,"Computer Consultant, Small Business Owner",http://t.co/odt9ssT4VJ,"Berkeley, CA",Pacific Time (US & Canada),160,119,326,4
@bearbogast,Brian Arbogast,"Director of Water, Sanitation, and Hygiene @ The Bill & Melinda Gates Foundation",http://t.co/KJjL7KOeaU,Seattle,Pacific Time (US & Canada),137,917,69,45
@anthonysoohoo,Anthony Soohoo,Media and gadget geek. Advisor to Abe Froman. Aspiring lobsterman. Occasional entrepreneur.,http://t.co/b6SN3NOnSV,"Palo Alto, CA",Pacific Time (US & Canada),2742,3784,880,80
@DavidScacco,David Scacco,"Investor, Partner, Advisor. First Google Advertising Exec (2000-07), ex-Chicagoan. Now @ OpenPath Investments",https://t.co/gWsANi6yu1,"Menlo Park, CA (sometimes)",Pacific Time (US & Canada),2665,2953,289,58
@S_C_,Mr. Carter,,,Brooklyn,Eastern Time (US & Canada),240,3225715,0,12335
@stahura,Paul Stahura,"CEO and Founder Donuts Inc., Founder  eNom, Inc.",http://t.co/0S70qaBF,"Seattle, WA",Pacific Time (US & Canada),722,2590,530,63
@deekay,David King,,,"San Francisco, CA",Pacific Time (US & Canada),2103,3154,1136,246
@laurenepowell,Laurene Powell,"mother,  advocate, friend, Emerson Collective president,                               joyful adventurer",http://t.co/Qr1O0bgn4d,"Palo Alto, CA",Pacific Time (US & Canada),163,13248,73,173
@PeterKirwan,Peter Kirwan,"CEO and Co-Founder, Collexion, Inc.",http://t.co/3ZIry7CJzK,"San Diego, CA",Pacific Time (US & Canada),95,222,397,15
@satyap,Satya Patel,"Dad, VC @Homebrew & Board Dir. @kippbayarea. Ex-Twitter VP Product/Google PM. Food, scotch & @Giants fan. Penn educated, Vegas raised. Optimizing for happiness.",http://t.co/RU0shZHdUl,"San Francisco, CA",Pacific Time (US & Canada),5787,19709,1840,796
@SeattleBill,Bill Bryant,,,,,4,474,23,69
@LaurentDrion,Laurent Drion,"CEO @emerge_be  a Brussels based investor with 30+ early-stage investments up to date in e-commerce tools, payments systems, telecom and space industries",https://t.co/dpZyJSbBMb,Brussels,Amsterdam,110,215,79,14
@stevewoz,Steve Wozniak,Engineers first! Human rights. Gadgets. Jokes and pranks. Segways. Music and concerts. Gameboy Tetris.,http://t.co/gC1NnB1hgl,"Los Gatos, California",Pacific Time (US & Canada),5199,514294,85,9501
@AndySwan,SWANTASTIC!,"co-founder, @LikeFolio",https://t.co/gXABIN4pC5,"Louisville, KY",Eastern Time (US & Canada),345,18229,678,332
@Mazzeo,Matt Mazzeo,Lowercase Capital w/ @Sacca Snapchat:https://t.co/IPxpU36ZaN,https://t.co/OFIiys0kMy,LA & SF,Pacific Time (US & Canada),2393,12696,2147,465
@bradkeywell,Brad Keywell,,http://t.co/2uvWPiUS,,,59,2225,15,89
@JGut,Josh Guttman,"Partner at SBNY: @Reonomy, @XdotAI, @SherpaaHealth, @SoapboxHQ Before: SoftBank Capital, @Outbrain, @Sphere. Perpetual tinkerer. Guardian of mischievous boxer.",https://t.co/J37fpHROVE,New York City,Sri Jayawardenepura,5333,6724,744,144
@dariusmc,Darius Contractor,CTO FWD.us,http://t.co/9w8KjYwHcg,SF,Quito,1065,1351,364,32
@tadhgotoole,Tadhg O'Toole,"Fellow @KauffmanFellows, Tech Investor and Mentor @Tribalvc, Founder of @LikeCharityNews",http://t.co/duhMtpbREp,"Dublin(IRL), Raleigh(USA) ",,613,1397,806,63
@NickBeim,Nick Beim,"Investor @Dataminr @Kontor @IntentMedia @Care.com @JBoss @Fiksu, Partner @Venrock, Board Member @Endeavor, technology enthusiast",http://t.co/u5wKV8sy5f,New York City,Eastern Time (US & Canada),375,1629,427,109
@tobi,Tobi Lütke,"@Shopify CEO by day, Dad in the evening, hacker at night. 
- 
Rails Core alumni; Author of ActiveMerchant, Liquid, Delayed::Job.",http://t.co/IxH9g2NBgD,Canada,Eastern Time (US & Canada),10568,20526,1344,927
@amiller29,Adam Miller,"Social Entrepreneur, LA Tech Founder, and Public Company CEO @CornerstoneInc",http://t.co/fuvFTgLFWv,Los Angeles,,61,1453,67,81
@vishalm,Vish Makhijani,Working to democratize education #udacity proud papa and husband...,,San francisco,Pacific Time (US & Canada),911,493,606,24
@albertfeliu,Albert Feliu,No. Try not. Do... or do not. There is no try + Founder at @Appszoom Founder @mobonaut_com + former co-Founder/CTO at @Infojobs,https://t.co/jwFX5jDQLy,Somewhere in the Milky Way,Madrid,349,274,300,34
@kul,Kulveer Taggar,Entrepreneur. From London. Support United.,http://t.co/nI692X8TDg,San Francisco,Pacific Time (US & Canada),5654,6597,1875,127
@ryan_mcintyre,Ryan McIntyre,"VC @foundrygroup, musician, dad, husband, dog lover, Boulderite, San Franciscophile.",https://t.co/m75IucDyZP,"iPhone: 37.803773,-122.406235",Mountain Time (US & Canada),4266,8148,606,544
@dkarandish,David Karandish,,http://t.co/yewbkRBUZV,,Central Time (US & Canada),192,141,16,6
@davidvivero,David Vivero,CEO and co-founder @AminoHealth and investor @RedSwanVentures. Committed to connecting people to the best health care possible.,http://t.co/TJBZxV0iq9,,Pacific Time (US & Canada),1964,2014,502,113
@lance,lance,I build Internet companies. Vice President of Sales & Marketing @callrail.,https://t.co/FrlaCcRdEC,atlanta,Eastern Time (US & Canada),9512,4650,394,346
@genederose,Gene DeRose,"Co-Founder, 1 World Venture Partners, NYC startup incubator & global investment fund. Past: ceo Jupiter Communications, founder House Party, Skymarker Labs.",https://t.co/M9f2dCy4Q1,New York City,Eastern Time (US & Canada),4472,1745,210,112
@cyriac1,Cyriac Roeding,Entrepreneur. Investor. CEO of shopkick.,http://t.co/YaKnmNGSKB,"Palo Alto, CA",Pacific Time (US & Canada),27,535,16,35
@Nickinthebox,Nicolas ROSSET,Inspector Gadget @ AliveIdeas.fr & Mapado,http://t.co/sfTb9wYSJf,Paris,Paris,1917,865,1350,57
@kentgoldman,Kent Goldman,founder and true seed stage investor @upsidevc. formerly a partner @firstround. still @loroSF's lesser half.,http://t.co/D51YuZumbj,San Francisco,Arizona,4959,21012,823,804
@mabb0tt,michael abbott,"helping engineers engineer their cmpnies, helping designers design their cmpnies. today: gp @kpcb. was: eng@twitter,webos@palm, gm@ms/azure, founder@compositesw",http://t.co/rt6hidEGXI,here,Pacific Time (US & Canada),2895,26111,1564,620
@Avi_Fogel,Avi Fogel,"4 X CEO in hi-tech in software, Internet, networking and network security. BScEE, MBA; CFA L1 completed",http://t.co/M4QPcgZ8YX,New York ,Eastern Time (US & Canada),388,623,74,60
@andrewam,Andrew Abdel-Malik,Tweetering about politics + digital. Former Director of Digital Strategy for @ScottforFlorida + @FloridaGOP. @GOP Alum. Opinions are my own & RTs ≠ endorsement.,https://t.co/UMtPJYbGlf,United States,Eastern Time (US & Canada),5237,1738,647,64
@juliahartz,Julia Hartz,Co-Founder and President of http://t.co/KAhY7FgO3a,http://t.co/RBxBBThnCE,"San Francisco, CA",Pacific Time (US & Canada),1057,9751,111,421
@kregpeeler,Kreg Peeler,"Founder, CEO @SpinGoEvents. Product developer, media producer, event fanatic, car fiend, tech geek.",https://t.co/nYYNEnKeyF,California + Utah,Mountain Time (US & Canada),367,1252,1915,49
@timy0ung,Tim Young,Founding General Partner @eniacvc,http://t.co/nXW1RmtP3z,,,718,9605,85,70
@dherman76,Darren Herman,"Bridging Madison Avenue and Silicon Valley. Founder, Silicon Alley Sports. Father of two, lucky husband of one.",https://t.co/1OzBtgSt8W,"New York, NY",Eastern Time (US & Canada),12571,8054,922,683
@hmikitani_e,Hiroshi Mikitani,"CEO, Rakuten Inc",http://t.co/KDC9fRAU0M,"Tokyo, Japan",Tokyo,374,5289,167,176
