Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@gokulr,Gokul Rajaram,,,Silicon Valley,Pacific Time (US & Canada),115,2187,63,50
@jeffcantalupo,Jeff Cantalupo,"entrepreneur & investor, passionate about design and innovation. Founder @listenventures partnering with entrepreneurs to turn ideas into brands",https://t.co/6qXCOJ60Qk,,Eastern Time (US & Canada),927,689,609,36
@Seanglass,Sean Glass,Entrepreneur at heart and in reality...and investor too. Founder and CEO - Advantia Health. Founding Partner - @acceleprise,https://t.co/mgbW71Z4Ni,"Washington, DC",Eastern Time (US & Canada),1762,2374,1222,140
@rajeshsawhney,Rajesh Sawhney,"Co-founder @Inner_Chef, Founder @GSFIndia. Investor Viki, Mobstac, Zapr, Pokkt, Hackerearth, Silverpush. Overcart. Curator #Evolution & #WhereDoWeGoNow",http://t.co/5mAHNiDW8j,India,Mumbai,8472,12331,342,342
@ccheever,Charlie Cheever,working on @exponentjs,http://t.co/TJFrHr7buu,"Palo Alto, CA",Pacific Time (US & Canada),2416,13528,1345,439
@btrenchard,Bill Trenchard,Seed stage VC at First Round Capital,http://t.co/rrsrnCROUk,Silicon Valley,Pacific Time (US & Canada),409,2492,279,146
@eshear,Emmett Shear,"CEO of Twitch, Player of Games",,"iPhone: 37.771996,-122.431396",Pacific Time (US & Canada),503,3432,104,94
@ericschmidt,Eric Schmidt,Executive Chairman & former CEO,http://t.co/GUXh9Byhr4,"Mountain View, CA",Pacific Time (US & Canada),350,1237957,236,20494
@heif,Scott Heiferman,@Meetup CEO,http://t.co/o5gXNIn1in,NYC,Eastern Time (US & Canada),10017,22762,610,1291
@seth,seth goldstein,"dad, entrepreneur, investor, artist, crossfaderer",http://t.co/OaAPzoFTS1,marin,Pacific Time (US & Canada),4801,18558,1704,1580
@shawngruver,Shawn V. Gruver,Wealth Manager. Advisor. Serial Angel. Travel Junkie. Ski Addict.,,Los Angeles or Knee Deep Power,,301,242,1056,29
@JereDoyle,Jere Doyle,"A life long Entrepreneur with two successful ventures, I am now acting as a mentor, advisor, investor, and board member with companies in their early stages.",http://t.co/Mjx9w6Fmxn,Boston,Eastern Time (US & Canada),496,1037,667,52
@maneesh1,Maneesh Arora,Co-founder & CEO @MightyText.  Ex-Googler PM. Startup helper. Geek. Product Builder.  Laker Fan.,http://t.co/5TdPjXHNKM,Bay Area,Pacific Time (US & Canada),3100,1644,874,135
@Greenstein_Joe,Joe Greenstein,I am @RachelSheinbein's husband.,,,Pacific Time (US & Canada),134,874,235,111
@shervin,Shervin Pishevar,Co-founder @Sherpa @HyperloopOne. Investor:Uber/Airbnb/MachineZone/Slack/WarbyParker/Ipsy/Stance/Munchery/Shyp/Postmates/Cue/Curology/Pillpack. Fulbright Board,https://t.co/XvCPKZ7LAX,One Earth,Eastern Time (US & Canada),36772,75713,4360,2769
@WilliamLohse,william lohse,"Social Starts, Micro VC for Early and Series A: Social Analytics, Media, Commerce, IoT Software and the Future of Work. First round of Pinterest. Prez,ZiffDavis",http://t.co/yKhkbgcXxQ,"Lake Tahoe, Nevada",Eastern Time (US & Canada),3037,1350,302,98
@wboulais,Wayne Boulais,VC in Chicago,,,Central Time (US & Canada),102,343,87,17
@Bandrew,Andy McLoughlin,"Partner @SoftTechVC. Co-founder @Huddle. Angel investor (@Postmates, @Pipedrive, @Buffer, @Secret_Escapes, @Intercom, @Bugsnag, @Zesty etc). Brit in SF. Tall.",https://t.co/4Sq8A9SPKA,San Francisco / London,Pacific Time (US & Canada),9508,8349,2675,525
@gharik,Georges Harik,,http://t.co/Vo89AXcPfU,,Pacific Time (US & Canada),529,2674,389,137
@Kolja,Kolja Hebenstreit,Co-Founder & Board Member @deliveryherocom and Co-Founder & Advisor/Investor of @pointninecap,https://t.co/zzBtpvTJdv,Berlin,Berlin,1967,8250,508,279
@pmarca,Marc Andreessen,"“I don’t mean you’re all going to be happy. You’ll be unhappy – but in new, exciting and important ways.” – Edwin Land",http://t.co/kn6m038bNW,"Menlo Park, CA",Pacific Time (US & Canada),92482,526107,7126,9404
@ML,Morten Lund,"Disruption Fanatic Addict, Father, Happy, - LOVE FACEBOOK as a business potential (see Bloomberg http://t.co/SljYZ5dmWg ). CHAIRMAN @Tradeshift and @ XOgroup",http://t.co/FD7xU9Z3kL,"ÜT: 55.716688,12.578283",Copenhagen,4819,34836,811,564
@markpinc,mark pincus,"Chairman and founder, @zynga. Investor (fb, twitter, xiaomi, https://t.co/2KtA4r7be8). Father of two amazing girls and one cute little boy.",https://t.co/f3tQrp2ol7,sf,Pacific Time (US & Canada),2642,63140,758,1755
@rogerkver,Roger Ver,"Investor in Bitcoin startups including http://t.co/Jqtg9VCaG5 Blockchain, LUXSTACK, BitPay, Kraken, Purse.io, and more! Also very interested in Voluntaryism",http://t.co/VossQ9KgKW,東京 Tokyo,Pacific Time (US & Canada),2251,31661,978,1043
@alexhoye,alex hoye,"Co-founder Faction Skis.
Digital meddler, chair of ICE, collaborator Runway East.
http://t.co/11qiNQifhh",http://t.co/WJNIPGms3L,London,London,3449,4118,607,240
@Loh,Elliot Loh,Last name Ever / First name Greatest / Middle name Middlename,https://t.co/2IOuHy8vCm,FOLLOWS YOU,Pacific Time (US & Canada),54215,6261,3993,436
@GetAdam,Adam Schwartz,Founder/CEO of @Articulate,http://t.co/VqfWcRhJeI,"Sagaponack, NY",Quito,1934,2431,257,128
@mkatz0630,Michael Katz,"CEO of @mParticles. 2x entrepreneur, NYC",https://t.co/djvVEAJK95,NYC,Eastern Time (US & Canada),4521,1857,484,95
@infoarbitrage,Roger Ehrenberg,Managing Partner of IA Ventures. Data junkie. Quant dude. Baseball coach. Crazy University of Michigan alumnus married to a fellow Wolverine.,http://t.co/ZOQotW93JG,"ÜT: 40.76136,-73.980129",Eastern Time (US & Canada),18213,30876,256,1938
@SteveCase,Steve Case,Author of The Third Wave: An Entrepreneur's Vision of the Future. Chairman of Revolution. Chairman of Case Foundation. Co-founder of AOL. @ThirdWaveBook,https://t.co/fKbrxjPNU4,Washington DC,Eastern Time (US & Canada),37127,765948,4996,10020
@conorstan,Conor Stanley,Founder @tribalvc | investor in @pagefair @barricadeio @intercom @boxever @newswhip & others |,http://t.co/gP4OG1icmH,Dublin,Dublin,1077,1993,627,102
@rohamg,Roham,"Founder, product guy & relentless optimist @AxiomZenTeam Investor @ZenHubIO @Routific @intercom @toutapp @twenty20 @HammerAndTusk @LeviathanAI @ApplyTalera",https://t.co/8MTn6xrHsP,"San Francisco, CA",Pacific Time (US & Canada),2165,3105,1766,121
@stuartlarkins,Stuart Larkins,Partner at Chicago Ventures. Former DoubleClick / Performics exec. Husband and father. Wine and food lover.,https://t.co/raEWg0I9BA,Chicago,Central Time (US & Canada),1333,2298,678,131
@JordanMendell,Jordan Mendell,Chief Product Officer @DraftKings,https://t.co/1nzNe4vboI,"Boston, MA",Mountain Time (US & Canada),10502,4222,906,85
@bryan_johnson,Bryan Johnson,Founder @OSFund & Braintree,https://t.co/KO5scCREGt,LA,Eastern Time (US & Canada),2328,7744,402,350
@joshjames,Josh James,http://t.co/bXOqdJDsla Domo Founder/CEO. Omniture CEO & Co-founder--inception to IPO to $1.8B sale. 6 daughters.,http://t.co/RljtNuQ5uR,Utah,Mountain Time (US & Canada),3365,48067,312,993
@carlosdomingo,Carlos Domingo,New Business and Innovation at du.  Discovering the Middle East. Former Telefonica R&D CEO and Telefonica Digital executive. Startup investor. Author.,http://t.co/wkilgRwuwk,,Cairo,23989,27480,1207,1058
@Chung,Chung-Man Tam,,,,Pacific Time (US & Canada),254,572,492,8
@davidlee,David Lee,"Personal investor in @get_headspace, @guardanthealth, @eatsa + others. Married to @gracelee.",https://t.co/MD4GKIFa64,"ÜT: 37.413657,-122.140841",Pacific Time (US & Canada),9445,49203,2977,1543
@smart,Steve Martocci,"Co-Founder of @Splice, @Flybladenow, @GroupMe and life with @kfalter. Mostly Harmless.",https://t.co/oXQys17D1L,"New York, NY, USA",Eastern Time (US & Canada),3714,11649,1043,271
@michaelchasen,Michael L. Chasen,Founder & CEO of @socialradar - providing better #location to app devs w/ @locationkit. Co-founder & former CEO of @Blackboard. #edtech #dctech #entreprenuer,,"Washington, DC",Central Time (US & Canada),3626,26647,10884,693
@mjones,Michael Jones,"CEO Science-  Dreamer, Leader, Father, Husband, Explorer - Former CEO Myspace, Tsavo, Userplane - Active Angel Investor, Living Human",https://t.co/1Uxhh4rhYS,"Malibu, CA",Pacific Time (US & Canada),2955,17095,1046,1041
@harris,Aaron Harris,Partner at Y Combinator. Co-Founder of Tutorspree. .-. . .- .-.. .-.. -.-- / .-.. --- ...- . ... / -... .- --. . .-.. ...,http://t.co/ilNe0xmqOM,NYC,Eastern Time (US & Canada),5309,6825,272,293
@cdixon,Chris Dixon,"programming, philosophy, history, internet, startups, investing",http://t.co/YviCcFNOiV,CA & NYC,Eastern Time (US & Canada),9343,223998,3445,8141
@arjunsethi,Arjun Sethi,"Partner @socialcapital, formerly Growth at Yahoo, Co-Founder at Littleinc (MessageMe), CEO Lolapps.",http://t.co/4tk9YvLqqA,"San Francisco, CA",Pacific Time (US & Canada),8133,27614,856,338
@Joi,Joi Ito,"Director, MIT Media Lab",http://t.co/JzxzXU9Y9H,"Cambridge, MA",Eastern Time (US & Canada),8870,114047,1231,5295
@hackingdata,Jeff Hammerbacher,"@techammer
@hammer_lab
@cloudera",,,Pacific Time (US & Canada),2301,26905,8320,1500
@chrishughes,Chris Hughes,,,,Eastern Time (US & Canada),1310,40172,919,1171
@arrola,iñaki arrola,"4x dad, 15x marathoner, entrepreneur at @coches, vc at @vitamina_K, upping the bet at The K Fund.",https://t.co/bfOmJobs8L,madrid,Madrid,35466,21318,442,1198
@kevinhartz,Kevin Hartz,"Co-Founder & CEO, Eventbrite",http://t.co/rA7WIDlEr8,"san francisco, ca",Pacific Time (US & Canada),506,11661,196,499
@adityaag,Aditya Agarwal,"VP Engineering, Dropbox",http://t.co/xtVeW1qC4Q,San Francisco,Pacific Time (US & Canada),35,2500,59,48
@tgm,Thomas McInerney,"Angel Investor, environmentalist, traveler, foodie",http://t.co/OUB9vXxJap,Global,Pacific Time (US & Canada),2224,6663,998,283
@kalvepuri,Kal Vepuri,Entrepreneurial private investor and vice versa.,https://t.co/AphrEZoMq3,,Quito,205,1722,171,84
@PittmanRadio,Bob Pittman,"Chairman and CEO of iHeartMedia. Former COO-AOL Time Warner, President & COO-AOL, cofounder of MTV and former CEO of MTV Networks",https://t.co/5gj7SCXRFV,New York,Quito,4,2648,33,118
@yurimilner,Yuri ,"Take my money, please!

This is a parody account. Please read all tweets in heavy accent.",http://t.co/2TAagp4AmJ,RUSSIA,,26,1694,18,33
@bnb,ben barokas,work hard play harder,http://t.co/jI4mfd2jQC,"ÜT: 38.95433,-77.380786",Eastern Time (US & Canada),1307,3126,1806,95
@GeorgescuRadu,Radu Georgescu,Serial Entrepreneur and Venture Capitalist,http://t.co/puFgSdPI90,Bucharest,Bucharest,242,4962,27,141
@bgarlinghouse,Brad Garlinghouse,"COO at Ripple.  Passionate about technology companies.  Angel Investor, Board Member and Advisor",http://t.co/z879Mt3Mnr,,Central Time (US & Canada),971,6220,393,243
@AnvilCapital,Michael Liou,Founder of Anvil Capital Advisors. High quality / higher income / lower volatility investing.,http://t.co/G4CCqzqdnf,,Arizona,124,88,16,12
@targyros,Tasso Argyros,CEO/Founder of http://t.co/sZZD6WH53J. Founder of @dataelite and previously @asterdata,http://t.co/wt22A5WCff,NYC,Pacific Time (US & Canada),1053,1962,299,102
@ttriant,Thanos Triant,"Angel Investor
Advisor
BoD",http://t.co/WkVXnj4IWN,Silicon Valley,Pacific Time (US & Canada),44,526,157,40
@DavidSacks,David Sacks,"Making entrepreneurship easier @Zenefits (CEO). Previously: Yammer Founder/CEO. PayPal COO. Producer, Thank You For Smoking.",,San Francisco,Pacific Time (US & Canada),2358,47805,1276,1903
@csertoglu,Cem Sertoglu,VC at @earlybirdVC cos: @FlippsTV @TjobsRo @Hazelcast @Grupanya @Wikimart @CivicSolar @idemamatwit @VivenseCom @Tapu_com @oBilet @YemekSepeti @GittiGidiyor,https://t.co/tRhPGMMn6Y,Istanbul,Istanbul,7950,8961,1923,268
@santy974,Santhosh,just a simple guy.,,Saarbrucken,Chennai,23,89,104,0
@BNarasin,Ben Narasin,"25 Year Entrepreneur, 8 Yr Seed Investor & Now a VC as General Partner at Canvas Ventures",http://t.co/KyAxgfaK2P,,Arizona,1411,1349,22,90
@albertwenger,Albert Wenger,VC at http://t.co/ob75pN98ID,http://t.co/sSAIPyl4wk,New York,Eastern Time (US & Canada),9879,36416,1363,1553
@Dude_Br0,A Saleh,I am a man from LA. That is it.,,LAX,,14220,7702,342,91
