Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Curio #1007 | Yay for the yaybahar. @curious  https://t.co/MvEFSimypN,Mon Apr 25 09:45:56 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #1006 | Academics and the Game of Thrones. @curious  https://t.co/QGlhQeyC8C,Sun Apr 24 09:45:56 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #1002 | A real-life Zombie ant fungus. @curious  https://t.co/o7oLBTSY3d,Wed Apr 20 09:45:48 +0000 2016,ro,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"A supernova has been extinguished. Bill, thanks for being the strongest/kindest mentor one could ever have. Love. https://t.co/dnkQfNCLyF",Mon Apr 18 17:57:28 +0000 2016,en,1,False,1,False,,Justin Kitch,ceounplugged
Curio #1000 | Drum roll please. @curious  https://t.co/EjwvIQ3yT5,Mon Apr 18 09:45:49 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #999 | Yes, it's true: 0.999… = 1. @curious  https://t.co/e8YtHdCY80",Sun Apr 17 09:45:49 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #998 | In the end, maybe P.T. Barnum was the sucker?. @curious  https://t.co/0jCrnwwikO",Sat Apr 16 09:45:50 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #997 | The cat righting reflex meets the dead cat bounce. @curious  https://t.co/eQA3Lcf4D1,Fri Apr 15 09:45:41 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #996 | How Super Soakers could save the planet . @curious  https://t.co/zCTjBS1VT3,Thu Apr 14 09:45:26 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #995 | Dumb people or dumb marketers?. @curious  https://t.co/F3NIw3ueK1,Wed Apr 13 09:45:20 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #994 | A musical road that slows speeders down . @curious  https://t.co/Y3JDppn9Lv,Tue Apr 12 09:45:52 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #993 | Mysterious African fairy circles invade Australia. @curious  https://t.co/IJYIPdAsq0,Mon Apr 11 17:19:49 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #993 | The mystery of fairy circles. @curious  https://t.co/dkRHHWNq4n,Mon Apr 11 09:45:50 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #992 | The best bourbon in the world?. @curious  https://t.co/y9fFNnDR1Z,Sun Apr 10 09:45:50 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #991 | A super high speed camera that slows down light. @curious  https://t.co/BsswYH6yqE,Sat Apr 09 09:45:50 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #990 | Meet a prehistoric Tully monstrosity. @curious  https://t.co/VsgIMjXZJO,Fri Apr 08 09:45:54 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #989 | Recreating Earth's atmosphere is harder than it sounds. @curious  https://t.co/nqsCiMNTaV,Thu Apr 07 09:45:35 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #988 | Yellow used to mean stop. @curious  https://t.co/PEr0kRhJDs,Wed Apr 06 09:45:08 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #987 | A head-splitting riddle. @curious  https://t.co/48a8OrPkww,Tue Apr 05 09:45:58 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #986 | What a picture of health looks like. @curious  https://t.co/PC0g7w7clI,Mon Apr 04 09:45:26 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #985 | The tree of death. @curious  https://t.co/yfwMNhf2Z9,Sun Apr 03 09:45:26 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #984 | Father of typography Herman Zapf was a dingbat!. @curious  https://t.co/pZUVVojiEp,Sat Apr 02 09:45:26 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #983 | Thomas Edison's greatest invention you've never heard of. @curious  https://t.co/l13jytEeMB,Fri Apr 01 09:45:34 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #982 | A literal token of appreciation. @curious  https://t.co/Fo3Iz84O4o,Thu Mar 31 10:00:35 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #981 | Learning to see clearly... under water. @curious  https://t.co/RIygXUpFTX,Wed Mar 30 09:45:30 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #978 | Hey Easter, thanks for our calendar. @curious  https://t.co/vhWyVtv1pi",Sun Mar 27 09:45:12 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #976 | Teaching calculus in kindergarten?. @curious  https://t.co/IKXEZQDpyC,Fri Mar 25 09:45:18 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #975 | Genie, a real life wild child. @curious  https://t.co/9PkH2uM65s",Thu Mar 24 09:45:10 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #974 | Scientists prove lumberjacks are manlier. @curious  https://t.co/N1SbIyU40c,Thu Mar 24 06:05:43 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #974 | Scientists prove lumberjacks are manlier. @curious  https://t.co/GSBIcakoDF,Wed Mar 23 09:45:02 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #972 | The woman who painted FDR's last breath. @curious  https://t.co/QctkZIekVu,Mon Mar 21 09:45:51 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #971 | The rites of spring break. @curious  https://t.co/EESyaX1HYb,Sun Mar 20 09:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #970 | Correlations that create causation to laugh. @curious  https://t.co/WJRhh6ja9v,Sat Mar 19 09:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #969 | You've never seen sound like this. @curious  https://t.co/2nQzYJsoOA,Fri Mar 18 09:45:12 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #968 | St. Patrick's Day blues. @curious  https://t.co/Up4S8QQ3Ev,Thu Mar 17 09:45:54 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #967 | A $7,500 plastic box . @curious  https://t.co/doZqppU5oL",Wed Mar 16 09:45:10 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #966 | A dunk-less March madness?. @curious  https://t.co/6pkf8W5kdJ,Tue Mar 15 09:45:10 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #965 | The Great Pi-ramids of Egypt. @curious  https://t.co/xrk8RCsp7j,Mon Mar 14 09:45:46 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #964 | Dangerous DST. @curious  https://t.co/zzJq6hOd0t,Sun Mar 13 10:45:46 +0000 2016,in,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
